,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Journey,II) ,,120,Drama,,,Roberto is a young man who is trying to find his way back home to his family. His desire to push forward despite facing seemingly insurmountable obstacles is the heart of his odyssey. ...                See full summary »,Cristopher Rodriguez,"     Meaghan Martin, Rafael Cebrián, Arcelia Ramírez, Gustavo Sánchez Parra",24,,https://www.imdb.com/title/tt4565764/,"https://m.media-amazon.com/images/M/MV5BZDhmYWEzNGMtZjA1MS00ZjRmLWE0YTgtYjgxMTcwZmY5YzFjXkEyXkFqcGdeQXVyMzcwNzQyNzU@._V1_UY98_CR3,0,67,98_AL_.jpg"
1,1000002,Curse of the Weredeer,2023,Unrated,,"Comedy, Horror",,,"There's sumthin' in them woods, 'n it's killin' hunters. On his bachelor party deer killin', beer drinkin', huntin' trip weekend; Randy's world is turned inside out. All's he wanted was to spend a lil' time with the fellers.",Ben Johnson,"     Lloyd Kaufman, Jessa Flux, Nadia White, Alyss Winkler",,,https://www.imdb.com/title/tt15035270/,"https://m.media-amazon.com/images/M/MV5BNzlkOWFkYWQtNzNhZC00YmJmLTk5NzYtNTg1NGQ4YTE1N2Y4XkEyXkFqcGdeQXVyNzg5NzM3MDk@._V1_UY98_CR36,0,67,98_AL_.jpg"
2,1000003,It's All True,2023,Not Rated,53,"Drama, Music, Musical",,,"A story about personal death, rebirth, mental health, dealing with the tragedies of the world, queer love and finding community.",Malinda Kathleen Reese,"     Malinda Kathleen Reese, Kyana Fanene",,,https://www.imdb.com/title/tt27350731/,"https://m.media-amazon.com/images/M/MV5BZWJhZDIwZmQtN2NlNy00ZDI0LTliMGEtY2Y2NTk3NWMyMzU5XkEyXkFqcGdeQXVyOTQyNzMwMTE@._V1_UY98_CR15,0,67,98_AL_.jpg"
3,1000004,The Long Hollywood Night,2023,,89,"Crime, Drama, Mystery",,,A lounge singer and a screenwriter attempt to solve a murder and uncover a kidnapping over the course of a night in Hollywood in 1962.,Joss Refauvelet,"     Devereau Chumrau, Ryan Willer, Heidi Rhodes, George Almond",,,https://www.imdb.com/title/tt14506482/,"https://m.media-amazon.com/images/M/MV5BM2MxNGM3Y2MtMmY1OC00MTQyLWFmZGYtNzM4YjhjMTcyNWM0XkEyXkFqcGdeQXVyMTExMDgxMTYw._V1_UX67_CR0,0,67,98_AL_.jpg"
4,1000005,Kisses and Bullets,2023,,69,"Crime, Drama",,,"An Internet model and her roommates invite men to their house to drug and rob them, but their choices lead them to dire consequences.",John K. Eagle Jr.,"     Aaron Bias, Mercedes Davis, Antawn Ivey, Terrell Kannady",,,https://www.imdb.com/title/tt27667802/,
5,1000006,The United States of Horror: Chapter 3,2023,,,Horror,,,Add a Plot,"Simon Phillips, Rajiim A. Gross, Vaslav J. Rice","     Doug Bradley, Robert Lamar Burns, Shelby L. Collette, Rajiim A. Gross",,,https://www.imdb.com/title/tt13110512/,"https://m.media-amazon.com/images/M/MV5BYmFiN2VkNmEtMWNhYS00NDRhLWIzOTAtY2ZmOWYwMWY3MDAwXkEyXkFqcGdeQXVyODA4NjA0MDY@._V1_UY98_CR13,0,67,98_AL_.jpg"
6,1000007,Not Promised Tomorrow,2023,,,Drama,,,"A look at the lives of five New Yorkers dealing with a variety of life's challenges and conflicts. Little do they know that all will be over soon. If you knew that the end of the world was about to come, would you do anything differently?",Antoine Allen,"     Michael Victor Allen, Natasa Babic, LaToya M.V.A. Braham, Shelly Christian",,,https://www.imdb.com/title/tt26736451/,"https://m.media-amazon.com/images/M/MV5BZTI4NWFkZjMtOTNjMi00YjYyLThjNzItYzk4YzE4YTdmMTA5XkEyXkFqcGdeQXVyMjY4NTM1MDk@._V1_UY98_CR5,0,67,98_AL_.jpg"
7,1000008,"See Me Once More, My Dear Kid",2023,,89,"Crime, Drama, Family",,,"Based on true events from the 2018 Parkland, Florida School Shooting, the story follows a grieving mother as she reconciles with the death her son: a young Chinese-American hero who was shot and killed while helping his classmates escape.",Margaret Bihong Sha,"     Xinyu Wang, Steven Wei, David Hu, Williams Wei",,,https://www.imdb.com/title/tt26672607/,"https://m.media-amazon.com/images/M/MV5BYzA4NTI0NjMtMjYzMi00ZGNlLWEzMTYtNTdjYWFkZjFlYzM5XkEyXkFqcGdeQXVyMTQ5NTQ1MDY0._V1_UY98_CR1,0,67,98_AL_.jpg"
8,1000009,Devil's Witness,2023,,,Horror,,,The Italian vacation of two college girls clashes with an ancient ritual. But sometimes the pray become hunters.,Chris Casuaci,"     Fidan Abdullazade, Nola Basey, Davide Comensoli, Roberta Demolli",,,https://www.imdb.com/title/tt27300855/,"https://m.media-amazon.com/images/M/MV5BZGMzMTU0ZTUtNDJiOC00ZDVkLTgyZTQtMzcwODM4YzA2OGQ3XkEyXkFqcGdeQXVyODYzOTE0NjQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
9,1000010,Mind Over Max,2023,,,Drama,,,"Max Miller, a foster child and college undergrad goes on this journey to locate his biological family but is confronted with his own truth he's tried to escape.",Harold Daniels III,"     Christopher Farrar, Kelsey Delemar, Omar Cook, Gentel Sharrie",,,https://www.imdb.com/title/tt12199586/,"https://m.media-amazon.com/images/M/MV5BNTlhYzA0NmMtMTE1YS00NGFmLWFiNDQtNmVhZWJmMTc4OGFiXkEyXkFqcGdeQXVyMTA3MDg3MjEz._V1_UX67_CR0,0,67,98_AL_.jpg"
